"Identifiant opération";"Localisation station de mesure";"Code station";"X";"Y";"Identifiant point prélèvement";"Date réalisation";"Débit mesuré (m3/s)";"Débit station hydro (m3/s)";"Distance interpoint (m)";"Largeur plein bord évaluée (m)";"Largeur mouillée évaluée (m)";"Longueur réelle opération (m)";"Longueur théorique opération (m)";"Pente ligne d'eau (‰)";"Pente ligne d'eau évaluée";"Description habitat marginaux";"Continuité ripisylve rive gauche";"Continuité ripisylve rive droite";"Nom réseau de mesure";"Observations";"Version protocole";"Structure responsable";"Cours d'eau";"Nombre transect";"D16 (mm)";"D50 (mm)";"D84 (mm)";"Indice Folk et Ward";"Indice Fredle";"Surface mouillée Q1 (m2)";"Largeur mouillée Q1 (m)";"Périmètre mouillé Q1 (m)";"Profondeur maximum Q1 (m)";"Profondeur moyenne Q1 (m)";"Rayon hydraulique Q1";"Rapport largeur/Profondeur Q1";"Coefficient rugosité";"Surface mouillée Qb (m2)";"Largeur mouillée Qb (m)";"Périmètre mouillé Qb (m)";"Profondeur maximum Qb (m)";"Profondeur moyenne Qb (m)";"Rayon hydraulique Qb";"Rapport largeur/Profondeur Qb";"Force tractrice Qb  (N/m2)";"Débit plein bord (m3/s)";"Ecart type cote point";"Coefficient variation cote point";"Ecart type cote point en eau";"Coefficient variation cote point en eau";"Ecart type largeur mouillée Qb";"Coefficient variation largeur mouillée Qb";"Vitesse moyenne Qb (m/s)";"Ligne énergie Qb (m)";"Cote ligne énergie Qb";"Nombre de Froude Qb";"Puissance spécifique Qb (w/m2)";"Nombre de mouille";"Profondeur moyenne des mouilles (m)";"Nombre de berges total";"Nombre de berges artificialisées";"Score ripisylve";"Classe ripisylve";"% fines";"% graviers-cailloux";"% blocs-rochers";"Indice de Shannon granulo";"Surface BV (km2)";"Proportion de roche imperméable BV";"Code HER ou DOM dominant";"Nom HER ou DOM dominant";"Type DOM";"Coefficient de sinuosité";"Débit Q01 RHT (m3/s)";"Puissance Q01 RHT (w/m)";"Puissance spécifique Q01 RHT (w/m2)";"Station référence modèle";"Résidu modèle Largeur mouillée Qb";"Résidu modèle rapport largeur/profondeur Qb";"Résidu modèle profondeur mouilles";"Résidu modèle profondeur Qb";"Résidu modèle pente ligne d'eau";"Résidu modèle surface mouillée Qb";"Résidu standardisé modèle largeur mouillée Qb";"Résidu standardisé modèle rapport largeur/profondeur Qb";"Résidu standardisé modèle profondeur mouilles";"Résidu standardisé modèle profondeur Qb";"Résidu standardisé modèle pente ligne d'eau";"Résidu standardisé modèle surface mouillée Qb";"IMG";"Modèle référence IMG";"Classe écart IMG"
11;"LES ÉVOISSONS À BERGICOURT (80)";"01138300";629186;6960867;166000;2009-08-21;0,487;NA;1,1;10,4;7,65;147;145,6;1,66;NA;"";"semi-continue";"semi-continue";NA;"Pas de station hydro à proximité.
Bâtonnets depuis la RG. Sur un des 2 radiers les bâtons ont disparu.";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Evoissons";15;13;22;38,16;0,856;15,937;1,968;7,7;7,845;0,401;0,263;0,257;22,377;15,011;6,802;10,704;11,049;0,925;0,642;0,622;11,89;10,123;3,03;0,372;0,004;0,141;0,544;1,642;0,153;0,451;0,936;100,414;0,18;4,724;3;0,094;30;0;0,39;4;47,619;52,381;0;1,726;95,1;0;9;"TABLES CALCAIRES";0;1,07;3,252;52,958;4,947;0;0,21;0,527;-0,75;-0,323;-0,367;-0,07;0,804;1,382;-1,589;-0,948;-0,456;-0,155;5,334;"TABLES CALCAIRES";"faible"
12;"LA LAUCH À BUHL (AVAL)";"02016050";1013357;6766397;71960;2009-06-30;0,35;NA;0,85;10,87;5,92;152;152,18;12,3;NA;"";"semi-continue";"semi-continue";NA;"";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Lauch";15;11,84;69,5;270;2,119;17,802;1,166;4,953;5,198;0,393;0,236;0,224;13,633;7,346;19,208;10,332;12,532;2,59;1,871;1,536;4;185,279;20,827;1,087;0,011;0,132;0,551;1,217;0,118;1,093;2,651;101,323;0,256;246,569;3;0,11;30;17;0,541;3;1,481;46,667;51,852;1,891;65,68;1;4;"VOSGES";0;1,03;7,968;961,443;93,053;0;-0,032;-0,928;-0,563;0,863;1,586;0,918;-0,107;-3,524;-1,325;3,855;1,473;1,974;12,258;"VOSGES";"tres fort"
13;"LA PETITE FECHT À STOSSWIHR (B)";"02018780";1002350;6780378;71964;2009-06-29;0,05;NA;0,5;5,2;3,4;73;72,8;60,6;NA;"";"semi-continue";"continue";NA;"1 bâton cassé sans noircissement de longueur totale 19.2 cm (non pris en compte).";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Petite fecht";15;12,72;35;176;2,158;20,382;0,416;2,479;2,67;0,287;0,159;0,147;9,055;1,755;2,27;4,124;4,783;0,825;0,546;0,47;5,003;279,524;0,593;1,377;0,014;0,109;0,645;0,898;0,218;0,282;0,83;98,341;0,124;89,393;5;0,079;30;5;0,595;2;4,464;25,893;69,643;1,49;9,25;1;4;"VOSGES";0;1,03;1,487;884,001;214,367;0;-0,382;-0,294;-0,299;-0,099;1,102;-0,47;-1,26;-1,119;-0,705;-0,441;1,023;-1,011;5,559;"VOSGES";"faible"
14;"L'ANDLAU À ANDLAU";"02028000";1018626;6819797;87645;2009-06-26;0,05;NA;0,3;4;2;56;56;81,4;NA;"";"semi-continue";"espacée-régulière";NA;"1 bâton perdu.
3 bâtons sans marques 

Qualification incertaine du fait d'un nombre de points incorrect dans les transects 1 2 et 6. de points";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Andlau";15;36,84;87,5;157,8;0,975;42,802;0,16;1,581;1,685;0,169;0,099;0,092;10,322;5,361;2,306;3,321;4,126;1,007;0,697;0,558;3,31;445,311;2,39;1,442;0,015;0,074;0,738;0,686;0,206;1,086;1,07;98,629;0,42;596,824;4;0,07;30;22;0,433;3;6,107;46,565;47,328;1,887;3,23;1;4;"VOSGES";0;1,02;0,47;375,311;112,999;0;-0,294;-0,488;-0,114;0,197;0,281;-0,053;-0,967;-1,854;-0,269;0,881;0,261;-0,113;4,346;"VOSGES";"tres faible"
15;"LA SAUER À LEMBACH";"02045150";1049436;6890022;88832;2009-06-24;0,74;NA;0,83;7,1;5,83;100;99,4;3,6;NA;"";"semi-continue";"continue";NA;"1 bâton perdu";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Sauer";15;25;41;117,92;1,192;35,048;1,649;5,745;5,896;0,477;0,287;0,279;12,994;17,519;6,313;7,307;8,081;1,169;0,866;0,782;6,348;27,601;5,631;0,44;0,004;0,172;0,604;1,063;0,146;0,909;1,212;100,557;0,313;27,688;4;0,089;30;0;0,13;1;41,88;42,735;15,385;1,474;52,29;0,702;4;"VOSGES";0;1,14;2,4;84,758;11,6;0;-0,313;-0,418;-0,703;0,089;0,115;-0,108;-1,031;-1,588;-1,656;0,399;0,107;-0,233;5,013;"VOSGES";"faible"
16;"LA CLEURIE À CLEURIE";"02049900";976493;6779788;89296;2009-09-29;0,28;NA;1,05;9,43;7,3;132,02;132,02;7,22;NA;"";"semi-continue";"semi-continue";NA;"";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Cleurie";15;34,84;80;145,44;1,032;39,558;1,491;6,511;6,637;0,384;0,228;0,223;18,012;6,002;7,815;9,265;9,871;1,155;0,846;0,792;8,105;56,102;3,412;0,525;0,005;0,126;0,522;1,073;0,116;0,442;1,165;100,304;0,154;26,412;4;0,099;30;0;0,541;3;23,276;49,138;27,586;2,024;55,64;1;4;"VOSGES";0;1,13;10,894;771,602;83,28;0;-0,093;-0,187;-0,619;0,071;0,877;0,082;-0,308;-0,709;-1,457;0,317;0,815;0,175;3,781;"VOSGES";"tres faible"
17;"LE BRENON À AUTREY";"02057600";931547;6829691;89777;2009-05-20;0,38;NA;1,4;13,3;9,53;186,2;186,2;1,47;NA;"";"espacée-régulière";"semi-continue";NA;"";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Brenon";15;26;41;62;0,654;29,801;5,219;7,854;8,412;0,849;0,612;0,562;12,306;2,79;19,85;12,277;13,854;2,291;1,617;1,419;5,584;20,456;2,681;0,981;0,01;0,446;0,636;2,29;0,187;0,147;2,293;101,307;0,039;3,245;2;0,982;30;0;0,433;3;23,596;69,663;6,742;2,033;142,8;0;10;"COTES CALCAIRES EST";0;1,14;14,159;204,183;16,631;0;0,149;-0,291;1,25;0,445;-0,347;0,644;0,744;-1,117;3,644;1,87;-0,396;1,785;9,556;"COTES CALCAIRES EST";"tres fort"
18;"LE RABODEAU À MOYENMOUTIER (AMONT)";"02064770";996064,064;6820081,477;95;2009-10-02;0,25;NA;1,28;9;6,23;126;126;3,67;NA;"";"semi-continue";"semi-continue";NA;"Qualification incorrecte du fait d'une distance inter points mesurée sur le terrain trop grande";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Rabodeau";15;27,84;76;145,32;1,125;36,61;0,952;3,933;4,161;0,401;0,232;0,218;11,554;11,984;6,929;8,791;9,62;1,391;0,785;0,718;6,386;25,835;4,032;0,57;0,006;0,174;0,684;1,468;0,167;0,609;1,411;100,779;0,222;16,973;3;0,34;30;0;0,231;1;26,154;36,923;36,923;1,913;41,86;1;4;"VOSGES";0;1,05;5,292;190,526;21,673;0;-0,063;-0,366;0,7;0,284;-0,101;0,07;-0,209;-1,389;1,648;1,267;-0,094;0,15;4,758;"VOSGES";"faible"
19;"LE RUISSEAU D'APACH À APACH";"02094920";945621;6934061;91509;2009-09-28;0,11;NA;0,4;4,5;2,95;63;63;0,38;NA;"";"semi-continue";"semi-continue";NA;"Qualif incertaine du fait pente semblant faible";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Apach";15;25;52;91,16;0,915;30,285;0,511;2,875;3,019;0,295;0,176;0,167;10,383;36,361;2,509;4,552;5,069;0,815;0,552;0,494;5,639;1,843;1,112;0,303;0,003;0,106;0,591;0,535;0,118;0,453;0,825;100,519;0,196;0,923;4;0,091;30;15;0,541;3;20,561;61,682;17,757;2,053;23,13;0;10;"COTES CALCAIRES EST";0;1,13;1,653;6,162;1,354;0;-0,22;-0,114;-0,635;-0,138;-1,962;-0,369;-1,096;-0,437;-1,853;-0,582;-2,241;-1,022;7,231;"COTES CALCAIRES EST";"moyen"
20;"LA SARRE BLANCHE À TURQUESTEIN-BLANCRUPT";"02094970";1004333;6835515;91556;2009-09-25;0,07;NA;0,4;4,6;2,7;64,4;64,4;3,6;NA;"";"semi-continue";"semi-continue";NA;"Qualification incertaine du fait nombre de point trop faible transect 4";"2009-2016";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Sarre blanche";15;10;26;73;1,292;13,171;0,264;2,807;2,898;0,185;0,097;0,093;16,429;21,511;1,74;5,099;5,377;0,537;0,347;0,327;9,705;11,561;1,067;0,193;0,002;0,065;0,666;1,544;0,303;0,646;0,56;100,258;0,351;7,925;3;0,069;30;2;NA;4;21,311;40,984;37,705;1,936;8,68;1;4;"VOSGES";0;1,04;1,443;50,961;9,995;0;-0,152;0,381;-0,416;-0,522;-1,789;-0,711;-0,5;1,449;-0,979;-2,331;-1,662;-1,53;8,451;"VOSGES";"fort"
21;"LA MEHOLLE À VOID-VACON";"02107900";891984;6841437;92521;2009-06-09;0,18;NA;0,6;7,5;4;180;105;0,3;NA;"";"continue";"continue";NA;"station de référence hydro-morpho

Qualification incertaine du fait d'un nombre de points trop faible transects 11 23 24";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Meholle";25;14;24;35,48;0,719;16,715;1,643;4,856;5,111;0,527;0,317;0,299;11,403;14,146;6,422;7,942;8,66;1,251;0,805;0,736;6,622;2,167;1,283;0,457;0,005;0,26;0,775;0,705;0,089;0,212;1,253;100,699;0,078;0,479;7;0,29;50;1;0,65;3;17,188;73,047;9,766;2,026;58,61;0;10;"COTES CALCAIRES EST";0;1,14;5,328;15,68;1,974;0;0,018;-0,039;0,271;0,06;-2,064;0,032;0,092;-0,148;0,79;0,253;-2,359;0,088;3,729;"COTES CALCAIRES EST";"tres faible"
22;"LE DORLON À CHARENCY-VEZIN";"02115762";882668;6935207;92963;2009-07-01;0,15;NA;0,9;6,4;4,73;89,6;89,6;24,5;NA;"";"continue";"continue";NA;"batonnets perdus

Qualification incorrecte du fait
problème dans la distance inter points mesurée sur le terrain /trop faible";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Dorlon";15;7;21,5;61,32;1,452;10,079;0,665;4,075;4,203;0,314;0,166;0,16;15,227;4,885;2,306;6,546;6,769;0,614;0,356;0,344;11,139;82,56;0,865;0,7;0,007;0,129;0,74;1,396;0,213;0,392;0,622;99,211;0,212;33,263;3;0,077;30;0;1,299;2;46,316;44,211;9,474;1,892;24,43;0;10;"COTES CALCAIRES EST";0;1,03;1,306;313,891;47,952;0;0,124;0,562;-0,817;-0,435;2,212;-0,485;0,618;2,158;-2,383;-1,828;2,528;-1,344;10,859;"COTES CALCAIRES EST";"tres fort"
23;"LA GIVONNE À DAIGNY";"02116600";843490;6959608;93165;2009-07-28;0,23;NA;0,75;11,5;5,3;160;161;8,1;NA;"";"espacée-régulière";"espacée-régulière";NA;"batonnets perdus volés pas d'infos sur le colmatage";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Givonne";14;60,84;96;147,32;0,667;71,005;1,022;4,968;5,128;0,326;0,214;0,205;17,831;7,195;13,975;8,913;10,87;2,02;1,583;1,281;4,466;101,828;10,676;0,78;0,008;0,127;0,623;2,029;0,228;0,793;2,053;101,121;0,201;100,129;2;0,159;28;17;0,058;1;3,061;73,469;23,469;1,878;37,21;0,801;22;"ARDENNES";0;1,03;4,155;330,16;37,044;0;0,27;-0,472;-0,078;0,717;0,845;1,132;1,397;-1,809;0,073;3,132;0,693;3,297;10,402;"Colinéen Est";"tres fort"
24;"L'ALYSE À FUMAY";"02122200";817862;6989141;93464;2009-07-20;0,08;NA;0,5;4,7;3,3;77;65,8;22,9;NA;"";"continue";"semi-continue";NA;"station de référence cours d'eau salmonicole massif ardennais. Très bon état écologique.";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Alyse";16;28,84;55,5;116,16;1,031;37,532;0,315;2,981;3,055;0,202;0,108;0,104;16,181;7,554;1,976;4,865;5,164;0,61;0,406;0,382;8,068;85,906;1,19;0,551;0,006;0,079;0,769;0,587;0,121;0,613;0,63;99,62;0,309;55,695;4;0,115;32;0;1,212;2;4,032;70,968;25;1,893;18,19;0,566;22;"ARDENNES";0;1,06;0;0;0;0;-0,121;0,131;-0,218;-0,278;1,685;-0,41;-0,552;0,404;-0,225;-1,021;1,583;-0,999;4,784;"Colinéen Est";"faible"
25;"L'ARDUSSON A FERREUX-QUINCEY 2";"03011840";744712;6817768;94292;2009-07-22;0,05;NA;0,9;7,4;6,23;104;103,6;5,73;NA;"";"continue";"continue";NA;"";"2009 (Pré-déploiement)";"OFFICE FRANCAIS DE LA BIODIVERSITE";"Ardusson";15;3;13;42,32;1,941;4,659;0,87;4,794;5,003;0,341;0,173;0,164;21,755;2,534;2,592;6,588;6,922;0,643;0,391;0,369;11,639;20,768;0,256;0,356;0,004;0,168;0,869;1,145;0,174;0,108;0,643;100,006;0,057;2,259;5;0,342;30;11;0,469;2;37,755;28,571;33,673;2,034;127,99;0;9;"TABLES CALCAIRES";0;1,16;4,603;258,741;39,275;0;-0,366;0,477;0,506;-0,749;0,999;-1,191;-1,401;1,252;1,073;-2,203;1,241;-2,628;9,798;"TABLES CALCAIRES";"tres fort"
